id,title,cuisine,difficulty,total_time,variant_type,protein_type,base_recipe,issues
b7b1e8e4-d3a7-4598-8259-f9d44b219ade,Vietnamese Rice Pocket Recipe With Caramelised Onions & Chillies,indian,easy,30,standard,vegetarian,Vietnamese Rice Pocket Recipe With Caramelised Onions & Chillies,veg_tags_with_meat_words
bd8ec280-ca85-4c32-8d5b-7ea0b22c4d62,Vietnamese Style Vegetarian Spring Rolls Recipe With Peanut Dipping Sauce,indian,hard,30,standard,vegetarian,Vietnamese Vegetarian Spring Rolls Recipe With Peanut Dipping Sauce,veg_tags_with_meat_words
2eafe3d6-f826-4e50-bc90-ae7febffc600,White Vegetable Kurma Recipe With Coconut & Cashew,indian,hard,30,standard,vegetarian,White Vegetable Kurma Recipe With Coconut & Cashew,veg_tags_with_meat_words
351ed3b2-52e8-4d7e-aea1-f8290eff6ddd,Asian Red Cabbage Salad With Roasted Peanuts Recipe,indian,easy,35,standard,vegetarian,Asian Red Cabbage Salad With Roasted Peanuts Recipe,veg_tags_with_meat_words
99aa605f-2649-4360-b777-7a657fc35877,Bengali radish potato vegetable recipe,indian,hard,35,standard,vegetarian,Bengali radish potato vegetable recipe,veg_tags_with_meat_words
fcdee2a0-f5bf-46a3-a71d-ea2aeed15ba1,Chilli Baby Corn (Manchurian) Recipe,indian,medium,35,standard,vegetarian,Chilli Baby Corn (Manchurian) Recipe,veg_tags_with_meat_words
9d654871-e8e8-4cfa-8244-4e8a7597fad6,Chilli Paneer Momo Recipe,indian,hard,35,standard,vegetarian,Chilli Paneer Momo Recipe,veg_tags_with_meat_words
f88e49d2-2a9f-44a3-883c-6062b92577bc,Dairy Free Chocolate Pudding Recipe,indian,easy,35,standard,vegetarian,Dairy Free Chocolate Pudding Recipe,veg_tags_with_meat_words
d5350b2f-7d31-4ac0-80af-a9dda243dc29,Drumstick Leaves Fried Rice Recipe,indian,easy,35,standard,vegetarian,Drumstick Leaves Fried Rice Recipe,veg_tags_with_meat_words
5c8b3231-e1f8-4e52-9298-9184da5ff1a6,Garlic And Pepper Mushroom Stir Fry Recipe,indian,easy,35,standard,vegetarian,Garlic And Pepper Mushroom Stir Fry Recipe,veg_tags_with_meat_words
6a1bd612-3b92-4870-b1dd-69908da1f0fd,Goan Stuffed Masala Recipe,indian,medium,35,standard,vegetarian,Goan Stuffed Masala Recipe,veg_tags_with_meat_words
dc87e2f7-2b37-4133-a027-01ecae30af6a,Homemade Harissa Paste Recipe,indian,medium,35,standard,vegetarian,Homemade Harissa Paste Recipe,veg_tags_with_meat_words
43bc973a-c105-4370-937d-bfed8c2de83b,Mangalorean Chana Gassi Recipe,indian,hard,35,standard,vegetarian,Mangalorean Chana Gassi Recipe,veg_tags_with_meat_words
2dd32a7b-275f-4169-8206-cc6b29d5e21b,Mooli Bhurji recipe,indian,easy,35,standard,vegetarian,Mooli Bhurji recipe,veg_tags_with_meat_words
d84db7a6-06ce-458e-ba7c-50e53c893dae,Paleo Balsamic Mushrooms Recipe,indian,easy,35,standard,vegetarian,Paleo Balsamic Mushrooms Recipe,veg_tags_with_meat_words
b84ebbaf-aaf5-4025-99c0-7fb6813d7239,Pav Bhaji Flavored Pasta Recipe-Fusion Fusilli Pasta,indian,medium,35,standard,vegetarian,Pav Bhaji Flavored Pasta Recipe-Fusion Fusilli Pasta,veg_tags_with_meat_words
253fd763-68e7-484f-8993-ad5aa07dedc8,Peas Pulao Recipe -  North Indian Matar Pulao,indian,easy,35,standard,vegetarian,Peas Pulao Recipe - North Indian Matar Pulao,veg_tags_with_meat_words
80e3d386-0b2e-4b05-b8b5-46dd23af6f3c,Punjabi Mixed Vegetable Kadai Recipe,indian,hard,35,standard,vegetarian,Punjabi Mixed Vegetable Kadai Recipe,veg_tags_with_meat_words
0e6d1ff9-da14-4ab9-87ad-a83b896dc0b6,Roasted Beet Salad Recipe With Pearl Barley & Spinach,indian,easy,35,standard,vegetarian,Roasted Beet Salad Recipe With Pearl Barley & Spinach,veg_tags_with_meat_words
d4b947ee-0df1-488e-8dd7-c05fbe42835a,Rumali Roti Recipe,indian,easy,35,standard,vegetarian,Rumali Roti Recipe,veg_tags_with_meat_words
44757ce8-a097-425b-8de0-40d43042a4a4,Shallow Fried Oysters Recipe,indian,easy,35,standard,vegetarian,Shallow Fried Oysters Recipe,veg_tags_with_meat_words
036aec43-1f9e-47dc-b750-4ed5f6bffa14,Spicy Mexican Salsa Recipe - Tomato Salsa Recipe,indian,easy,35,standard,vegetarian,Spicy Mexican Salsa Recipe - Tomato Salsa Recipe,veg_tags_with_meat_words
0d2a1a9e-06c9-4b91-a369-ca1c32f3ccc3,Srilankan Style Sambol Recipe,indian,easy,35,standard,vegetarian,Srilankan Sambol Recipe,veg_tags_with_meat_words
f9151344-c3c5-4ef3-886c-db87c0584610,Sweet Potato Kheer Recipe,indian,easy,35,standard,vegetarian,Sweet Potato Kheer Recipe,veg_tags_with_meat_words
